product_id,num_images,item_name,barcode,manufacturer,brand,weight,packaging_type,country,variant,product_type,fragrance_flavor,promotion,addons,tagline
S221234199,4,BLUE BAND 250G PLASTIC TUB SPREAD FOR BREAD MARAGARINE SALTED UPFIELD GHANA MANUFACTURING LIMITED,6034000482027,UPFIELD,BLUE BAND,250G,TUB,GHANA,ORIGINAL,SALTED MARGARINE,,,,LOW FAT SPREAD FOR BREAD
S221712802,5,LELE MAYONNAISE 430G GLASS TUB BOTTLE MAYONNAISE AJC GHANA,106060069411,AJC TRADING CO LTD,LELE,430G,GLASS JAR,GHANA,,MAYONNAISE,,,,
S222711495,4,BLUE BAND 12G CHOLESTEROL FREE SPREAD FOR BREAD PLSTC SACHET UPFIELD GHANA LTD,6034000482002,UPFIELD,BLUE BAND,12G,SACHET,,,SALTED MARGARINE,,,,CHOLESTEROL FREE SPREAD FOR BREAD
S222894050,2,ALFA MAYONNAISE 500ML PLASTIC BTTLE AL-AIN NATIONAL JUICE & REFRESHMENT CO.,6291003162947,AL AIN COMPANY LTD,ALFA,500ML,PLASTIC BOTTLE,,,MAYONNAISE,,,,
S222985766,3,BAMA MAYONNAISE WITH A DASH OF LEMON 909ML GLASS JAR GB FOODS,8410300363439,GB FOODS,BAMA,909ML,GLASS JAR,,,MAYONNAISE,LEMON,,,
S222992219,4,ENA PA 1000ML MAYONNAISE GLSS JAR MENKISH IMPEX LTD,5412723502689,MENKISH IMPEX,ENA PA,1L,GLASS JAR,,,MAYONNAISE,,,,
S223266096,4,VIBE STRAWBERRY ENERGY 350ML PB COCA COLA COMPANY LTD.,54013988,THE COCA COLA COMPANY,VIBE,350ML,PLASTIC BOTTLE,,,,STRAWBERRY,,,
S223756617,4,VIBE ENERGY DRINK 330ML PLASTIC BOTTLE HEMA GLOBAL BEVERAGES,6186001091989,THE COCA COLA COMPANY,VIBE,330ML,PLASTIC BOTTLE,COTE D'IVOIRE,,,,,,
S228661692,4,TASTY TOM GINGER AND GARLIC 8G SACHET NUTRIFOODS GHANA LIMITED,6033000303264,NUTRIFOODS,TASTY TOM,8G,SACHET,GHANA,,POWDER,GINGER & GARLIC,,,
S229332556,1,SISTER BEEF 10G SACHET SISTER SARDINE & MACKEREL,6970679244224,SISTER SARDINE & MACKEREL VENTURES,SISTER,10G,SACHET,GHANA,,,BEEF,,,
S229358414,4,SISTER POWDER GINGER AND GARLIC 10G SACHET XIAMAN OASIS FOOD COMPANY LTD,6954096870068,SISTER SARDINE & MACKEREL VENTURES,SISTER,10G,SACHET,CHINA,,POWDER,GINGER & GARLIC,,,
S229382754,2,ROSALINDA NOODLES & SPAGHETTI 10G PWDR SACHET CHINA,6034000975246,GEE TRADING SAL,ROSALINDA,10G,SACHET,,,POWDER,NOODLES & SPAGHETTI,,,
S229468250,4,U FRESH ORANGE JUICE DRINK 350ML BTTLE D- U FRESH CO.LTD,6034000210873,U-FRESH ENTERPRISES,U-FRESH,350ML,PLASTIC BOTTLE,,,,ORANGE,,,
S229526979,4,KALYPPO 250ML MULTI FRUITS CRTN CRDBRD AQFRSH,9501053210534,AQUAFRESH LIMITED,KALYPPO,250ML,TETRA PAK,,,,MULTI FRUIT,,,
S229664512,4,JOJONAVI STRAWBERRY JUICE DRINK 330ML CAN NAT VET PHAT FOOD CO. LIMITED VIETNAM,8936085525966,NAM VIET PHAT FOOD CO. LIMITED,JOJONAVI,330ML,CAN,VIETNAM,,,STRAWBERRY,,,
S229664513,4,U FRESH 350ML APPLE BTTL PLST U FRESH CO LTD.,6034000210392,U-FRESH ENTERPRISES,U-FRESH,350ML,PLASTIC BOTTLE,,,,APPLE,,,
S229688224,4,ZAA NUTRI MIX INSTANT CEREAL LEGUME FLOOR 60G PWDR SACHET B-DIET LTD TAMALE,6034000396157,B-DIET LTD,ZAA,60G,SACHET,GHANA,,,LEGUME,,,
S229812956,4,KADI DETERGENT POWDER 250G SACHET DIAKITE RAMTA COMMERCANTE,6951670938480,SENICO,KADI,250G,SACHET,CHINA,,POWDER,,,,
S230162154,3,C'PROPRE WASHING POWDER 80G SACHET COTE D'IVOIRE,6951670939081,C'PROPRE,C'PROPRE,80G,SACHET,,,,POWDER,,,
S230256650,8,MOSSE CLEAN GOWNS 3 IN 1 DETERGENT PWDR 80G SACHET SUNDA PURECARE LTD COMPANY,6033000414144,HOMEPRO COMPANY LTD,MOSSE,80G,SACHET,GHANA,,,,,,CLEAN GOWNS 3 IN 1 DETERGENT
S230912494,4,SO KLIN 800G CONCENTRATED DETERGENT,8998866628877,PT SAYAP MAS UTAMA,SO KLIN,800G,PLASTIC BAG,NIGERIA,,,,,,CONCENTRATED DETERGENT
S230970047,4,EAZZY FRESH CITRUS 80G PWDR SACHET AFRICA CONSUMER PRODUCTS GHANA LTD,6034000374742,AFRICAN CONSUMER PRODUCTS,EASY,80G,SACHET,GHANA,,POWDER,CITRUS,,,
S231045463,6,THIS WAY CHOCOLATE DRINK 1 TO 4 SACHET ATONA FOODS,6224000250131,ATONA FOODS,THIS WAY,40G,SACHET,,,,CHOCOLATE,,,
S231695950,2,CHOCOLIM INSTANT COCOA MIX 400G BUY NOWGHS33 PWDR SACHET NESTLE GHANA LTD,6033000683212,NESTLE,CHOCOLIM,40G,SACHET,GHANA,,,,BUY NOW GHS33,,INSTANT COCOA MIX
S231944657,4,MIKSI 3 IN 1 CHOCOLATE 35G PWDR PLST SACHET PROMASIDOR GHANA LTD,6008155007534,PROMASIDOR,MIKSI,35G,SACHET,GHANA,,3 IN 1,CHOCOLATE & MILK,,,
S231985315,4,BEL-COLA 350ML PLASTIC BOTTLE SOFT DRINK BLOW- CHEM INDUSTRIES LIMITED,6034000351101,BLOW CHEM INDUSTRIES LTD,BEL,350ML,PLASTIC BOTTLE,,,,COLA,,,
S232726085,8,BEL MALT ORIGINAL 330ML BOTTLE PLASTIC BLOW CHEM INDUSTRIES LTD,6033000550521,BLOW CHEM INDUSTRIES LTD,BEL,330ML,PLASTIC BOTTLE,,ORIGINAL,,MALT,,,
S232892532,4,GOLDEN VICTORIA SPICY GINGER 25+5 FREE ENVELOPE TEABAGS 60G BOX CARDBOARD JAYAF,,MADHU JAYANTI INTERNATIONAL PVT LTD,GOLDEN VICTORIA,2G,BOX,,,,SPICY GINGER,,5 FREE ENVELOPE,
S233065853,4,ZESTA STRAWBERRY 25+7 FREE TEABAG 57.6G BOX CARDBOARD SUNSHINE TEA LTD SRI LANKA,4791076004349,WATAWALA TEA CEYLON LTD,ZESTA,1.8G,BOX,SRI LANKA,,,STRAWBERRY,,7 FREE ENVELOPE,
S233281131,4,TAPOK PREMIUM BLACK TEA 2GX100PCS BOX ETKAF INDIA,8901035064345,ETKAF,TAPOK,2G,BOX,INDIA,,BLACK TEA,,,1PCS 2G,PREMIUM
S233323686,4,LUX BAR BRIGHT IMPRESS 80G WRAPPED UNILEVER,8886467064432,UNILEVER,LUX,80G,WRAPPED,,,BAR,JAPANESE CAMELLIA & CITRUS OIL,,,BRIGHT IMPRESS BRIGHT & GLOWING SKIN
S233457181,4,KIVO CLASSIC TOMATO MIX 70G SACHET GREEN FIELD FZC PRC,784300169864,PROCUS LIMITED,KIVO,70G,POUCH,CHINA,,TOMATO MIX,,,,
S233576818,7,BRISK FARM 56G TOMATO MIX NEWLY BRANDED PACK SACHET GB FOODS GHANA LTD,8410300371380,GB FOODS,BRISK FARM,56G,SACHET,,,TOMATO MIX,,,,NEWLY BRANDED
